	chao1	shannon	observed_otus	simpson	equitability
10317.000035392	692.666666667	5.96535638021	438.0	0.96562286	0.679829190121
10317.000043118	729.1625	6.54440940922	521.0	0.97219962	0.72513110341
10317.000006685	450.166666667	4.93206901164	283.0	0.92584578	0.605558743485
10317.000005992	426.441860465	4.34045041984	309.0	0.82801924	0.524750023689
10317.000012947	658.580645161	6.00242655063	443.0	0.96225494	0.682779585218
10317.000012122	792.477272727	5.68822626819	414.0	0.94967066	0.654308943695
10317.000004758	566.764705882	5.64003287812	398.0	0.94991418	0.653036704259
10317.000042014	815.2875	6.64811746824	559.0	0.97639246	0.728424754853
10317.000027267	840.226415094	6.34963548936	487.0	0.96792476	0.711222379894
10317.000006625	420.765957447	4.95611174491	309.0	0.9143367	0.599181998177
10317.000008951B	275.947368421	4.2061767878	216.0	0.87748956	0.542390432695
10317.000006778	818.886075949	6.56074491104	549.0	0.9765026	0.720908508265
10317.000012971	785.701149425	6.4243938813	543.0	0.96986526	0.707157884576
10317.000017652	863.8875	6.91307412713	579.0	0.9798682	0.753269925007
10317.000015254	679.208333333	6.27311600936	489.0	0.96489784	0.702186392125
10317.000001438	590.017241379	5.91132588173	405.0	0.9645881	0.682461016088
10317.000006803	476.875	5.78015375423	378.0	0.956248	0.675074760541
10317.000013299	610.136986301	5.80655777237	455.0	0.95165548	0.657614961034
10317.000036039	442.717391304	5.23269247342	310.0	0.93129028	0.632263631766
10317.000011026	735.245901639	5.84657181085	444.0	0.94723424	0.664805019423
10317.000012993	624.447761194	5.94813047182	444.0	0.9614244	0.676353104312
10317.000009419	627.181818182	6.12826821172	444.0	0.9607018	0.696836299858
10317.000010693	760.649350649	6.30700053742	525.0	0.96864248	0.69797248347
10317.000008951A	258.523809524	3.95986052004	209.0	0.8579928	0.513776567587
10317.000001669	459.0	5.10143221176	349.0	0.9233558	0.603928252527
10317.000036068	520.690140845	5.74061667845	408.0	0.94921336	0.661939013838
10317.000042981	759.015384615	6.1546933017	471.0	0.96494774	0.693128621995
10317.000028776	1025.6875	6.78870396071	607.0	0.97436962	0.734266968823
10317.000004011	321.02173913	4.77276681796	267.0	0.91586574	0.592103567534
10317.000004285	617.428571429	6.19066060674	479.0	0.96410644	0.695276589918
10317.000026116	521.0	5.03405517464	365.0	0.90207288	0.591424043838
10317.000022498	654.246153846	6.36854759829	461.0	0.969942	0.719721886802
10317.000023929	709.737704918	5.30972742986	463.0	0.86667902	0.599639339631
10317.000009558	520.620689655	5.4933377121	387.0	0.93731846	0.639043328258
10317.000002051	524.52173913	5.79822813323	414.0	0.93223658	0.666962308862
10317.000016726	713.463414634	6.78179773681	517.0	0.97979498	0.752361031256
10317.000005927	605.12371134	5.87137685027	496.0	0.9326327	0.655712321546
10317.000013539	664.508474576	6.22306354158	470.0	0.9637355	0.701070428755
10317.000004289	646.692307692	6.1074754305	451.0	0.95694854	0.692694428329
10317.000011073	600.705882353	5.52435857259	396.0	0.94523258	0.640181975993
10317.000001111	441.474576271	4.89731804069	338.0	0.88542718	0.582953020316
10317.000013053	447.442307692	4.20122691648	296.0	0.8566308	0.511754769698
10317.000010225	705.4	6.89087659661	505.0	0.9830648	0.767346268622
10317.000003226	619.261904762	6.41865122246	488.0	0.97007248	0.718714589832
10317.000013167	567.135135135	6.02140313154	428.0	0.96237384	0.688832108033
10317.000010879	547.645833333	5.11712033811	362.0	0.91782472	0.6020250727
10317.000013055	604.761904762	5.44786376972	425.0	0.92612554	0.623945105014
10317.000006665	566.247191011	6.95053571457	490.0	0.98482736	0.777757335814
10317.000002638	443.780487805	5.68917220861	372.0	0.95531796	0.666245040578
10317.000002443	653.696202532	6.69900896726	516.0	0.97709346	0.743406949728
10317.000017349	758.776119403	7.00644402796	521.0	0.98260316	0.77632528335
10317.000005814	496.642857143	6.18944067866	403.0	0.97004604	0.715158980489
10317.000020071	608.04	5.837583052	421.0	0.96191236	0.669626029771
10317.000004026	567.5	6.10078604473	440.0	0.954704	0.694742755537
10317.000013134	581.378787879	6.26908891129	421.0	0.97539822	0.719123836106
10317.000004822	441.444444444	6.16501894735	375.0	0.96734538	0.72099187382
10317.000009101	587.105263158	6.62078190931	440.0	0.97969866	0.753958626602
